"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5778","Update article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","236","POST /todos (400) title too long","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","4682","Create article","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","230","POST /todos (201)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","5347","Add comment","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","240","GET /todos (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","335","DELETE /todos/{id} (200)","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3540","Open my article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
"","224","PUT /todos/{id}","chromium","2026-05-29","passed","2026-05-29","API challenge","","",""
"","3418","Open favorited article tab","chromium","2026-05-29","passed","2026-05-29","Регистрация","","",""
